PhytozomeID	Species	ReferencePublication/PI
Acoerulea_322_v3_1	Aquilegia_coerulea	Filiault, D. L., Ballerini, E. S., Mandáková, T., Aköz, G., Derieg, N. J., Schmutz, J., … Nordborg, M. (2018). The Aquilegia genome provides insight into adaptive radiation and reveals an extraordinarily polymorphic chromosome with a unique history. ELife, 7. https://doi.org/10.7554/elife.36426
Acomosus_321_v3	Ananas_comosus	Ming, R., VanBuren, R., Wai, C. M., Tang, H., Schatz, M. C., Bowers, J. E., … Yu, Q. (2015). The pineapple genome and the evolution of CAM photosynthesis. Nature Genetics, 47(12), 1435–1442. https://doi.org/10.1038/ng.3435
Ahalleri_264_v1_1	Arabidopsis_halleri	Ute Kraemer & Detlef Weigel
Ahypochondriacus_459_v2_1	Amaranthus_hypochondriacus	Lightfoot, D. J., Jarvis, D. E., Ramaraj, T., Lee, R., Jellen, E. N., & Maughan, P. J. (2017). Single-molecule sequencing and Hi-C-based proximity-guided assembly of amaranth (Amaranthus hypochondriacus) chromosomes provide insights into genome evolution. BMC Biology, 15(1). https://doi.org/10.1186/s12915-017-0412-4
Ahypogaea_530_v1_0	Arachis_hypogaea	Bertioli, D. J., Jenkins, J., Clevenger, J., Dudchenko, O., Gao, D., Seijo, G., … Schmutz, J. (2019). The genome sequence of segmental allotetraploid peanut Arachis hypogaea. Nature Genetics, 51(5), 877–884. https://doi.org/10.1038/s41588-019-0405-z
Alinifolium_472_v1_1	Alyssum_linifolium	Chris Pires & Steve Wright
Alyrata_384_v2_1	Arabidopsis_lyrata	Hu, T. T., Pattyn, P., Bakker, E. G., Cao, J., Cheng, J.-F., Clark, R. M., … Guo, Y.-L. (2011). The Arabidopsis lyrata genome sequence and the basis of rapid genome size change. Nature Genetics, 43(5), 476–481. https://doi.org/10.1038/ng.807
Aoccidentale_449_v0_9	Anacardium_occidentale	Dario Grattapaglia & Orzenil Silva-Junior
Aofficinalis_498_V1_1	Asparagus_officinalis	?
Athaliana_447_Araport11	Arabidopsis_thaliana	?
Atrichopoda_291_v1_0	Amborella_trichopoda	Albert, V. A., Barbazuk, W. B., dePamphilis, C. W., Der, J. P., Leebens-Mack, J., Ma, H., … Tomsho, L. (2013). The Amborella Genome and the Evolution of Flowering Plants. Science, 342(6165), 1241089–1241089. https://doi.org/10.1126/science.1241089
Bbraunii_502_v2_1	Botryococcus_braunii	Tomothy P. Devarenne & Andrew T. Koppisch
Bdistachyon_556_v3_2	Brachypodium_distachyon	John Vogel & Todd Mockler
Bhybridum_463_v1_1	Brachypodium_hybridum	Gordon, S. P., Contreras-Moreira, B., Levy, J. J., Djamei, A., Czedik-Eysenberg, A., Tartaglio, V. S., … Vogel, J. P. (2020). Gradual polyploid genome evolution revealed by pan-genomic analysis of Brachypodium hybridum and its diploid progenitors. Nature Communications, 11(1). https://doi.org/10.1038/s41467-020-17302-5
Boleraceacapitata_446_v1_0	Brassica_oleracea	Liu, S., Liu, Y., Yang, X., Tong, C., Edwards, D., Parkin, I. A. P., … Paterson, A. H. (2014). The Brassica oleracea genome reveals the asymmetrical evolution of polyploid genomes. Nature Communications, 5(1). https://doi.org/10.1038/ncomms4930
BrapaFPsc_277_v1_3	Brassica_rapa	-
Bstacei_316_v1_1	Brachypodium_stacei	Gordon, S. P., Contreras-Moreira, B., Levy, J. J., Djamei, A., Czedik-Eysenberg, A., Tartaglio, V. S., … Vogel, J. P. (2020). Gradual polyploid genome evolution revealed by pan-genomic analysis of Brachypodium hybridum and its diploid progenitors. Nature Communications, 11(1). https://doi.org/10.1038/s41467-020-17302-5
Bstricta_278_v1_2	Boechera_stricta	Lee, C.-R., Wang, B., Mojica, J. P., Mandáková, T., Prasad, K. V. S. K., Goicoechea, J. L., … Mitchell-Olds, T. (2017). Young inversion with multiple linked QTLs under selection in a hybrid zone. Nature Ecology & Evolution, 1(5). https://doi.org/10.1038/s41559-017-0119
Bsylvaticum_490_v1_1	Brachypodium_sylvaticum	John Vogel
Bvulgaris_548_EL10_1_0	Beta_vulgaris	McGrath, J. M. (Mitch), Funk, A., Galewski, P., Ou, S., Townsend, B., Davenport, K., … Dorn, K. (2020, September 16). A contiguous de novo genome assembly of sugar beet EL10 (Beta vulgaris L.). Cold Spring Harbor Laboratory. https://doi.org/10.1101/2020.09.15.298315
Camplexicaulis_470_v1_1	Caulanthus_amplexicaulis	Chris Pires & Steve Wright
Carietinum_492_v1_0	Cicer_arietinum	Varshney, R. K., Song, C., Saxena, R. K., Azam, S., Yu, S., Sharpe, A. G., … Cook, D. R. (2013). Draft genome sequence of chickpea (Cicer arietinum) provides a resource for trait improvement. Nature Biotechnology, 31(3), 240–246. https://doi.org/10.1038/nbt.2491
Ccitriodora_507_v2_1	Corymbia_citriodora	Healey, A. L., Shepherd, M., King, G. J., Butler, J. B., Freeman, J. S., Lee, D. J., … Henry, R. J. (2021). Pests, diseases, and aridity have shaped the genome of Corymbia citriodora. Communications Biology, 4(1). https://doi.org/10.1038/s42003-021-02009-0
Cclementina_182_v1_0	Citrus_clementina	???
Cgrandiflora_266_v1_1	Capsella_grandiflora	Slotte, T., Hazzouri, K. M., Ågren, J. A., Koenig, D., Maumus, F., Guo, Y.-L., … Wright, S. I. (2013). The Capsella rubella genome and the genomic consequences of rapid mating system evolution. Nature Genetics, 45(7), 831–835. https://doi.org/10.1038/ng.2669
Chispanica_488_v1_1	Crambe_hispanica	Chris Pires & Steve Wright
Ckanehirae_531_v3	Cinnamomum_kanehirae	Chaw, S.-M., Liu, Y.-C., Wu, Y.-W., Wang, H.-Y., Lin, C.-Y. I., Wu, C.-S., … Tsai, I. J. (2019). Stout camphor tree genome fills gaps in understanding of flowering plant genome evolution. Nature Plants, 5(1), 63–73. https://doi.org/10.1038/s41477-018-0337-0
Cmaritima_481_v1_1	Cakile_maritima	Chris Pires & Steve Wright
Cpapaya_113_ASGPBv0_4	Carica_papaya	Ming, R., Hou, S., Feng, Y., Yu, Q., Dionne-Laporte, A., Saw, J. H., … Alam, M. (2008). The draft genome of the transgenic tropical fruit tree papaya (Carica papaya Linnaeus). Nature, 452(7190), 991–996. https://doi.org/10.1038/nature06856
CpurpureusGG1_539_v1_1	Ceratodon_purpureus	Carey, S. B., Jenkins, J., Lovell, J. T., Maumus, F., Sreedasyam, A., Payton, A. C., … McDaniel, S. F. (2021). Gene-rich UV sex chromosomes harbor conserved regulators of sexual development. Science Advances, 7(27), eabh2488. https://doi.org/10.1126/sciadv.abh2488
Cquinoa_392_v1_0	Chenopodium_quinoa	Jarvis, D. E., Ho, Y. S., Lightfoot, D. J., Schmöckel, S. M., Li, B., Borm, T. J. A., … Tester, M. (2017). The genome of Chenopodium quinoa. Nature, 542(7641), 307–312. https://doi.org/10.1038/nature21370
Creinhardtii_281_v5_6	Chlamydomonas_reinhardtii	Merchant, S. S., Prochnik, S. E., Vallon, O., Harris, E. H., Karpowicz, S. J., Witman, G. B., … Grossman, A. R. (2007). The Chlamydomonas Genome Reveals the Evolution of Key Animal and Plant Functions. Science, 318(5848), 245–250. https://doi.org/10.1126/science.1143609
Crubella_474_v1_1	Capsella_rubella	Slotte, T., Hazzouri, K. M., Ågren, J. A., Koenig, D., Maumus, F., Guo, Y.-L., … Wright, S. I. (2013). The Capsella rubella genome and the genomic consequences of rapid mating system evolution. Nature Genetics, 45(7), 831–835. https://doi.org/10.1038/ng.2669
Csinensis_154_v1_1	Camellia_sinensis	?
Csinensis_154_v1_1	Camellia_nitidissima	?
Cviolacea_484_v1_1	Cleome_violacea	-
Czofingiensis_461_v5_2_3_2	Chromochloris_zofingiensis	Roth, M. S., Cokus, S. J., Gallaher, S. D., Walter, A., Lopez, D., Erickson, E., … Niyogi, K. K. (2017). Chromosome-level genome assembly and transcriptome of the green alga Chromochloris zofingiensis illuminates astaxanthin production. Proceedings of the National Academy of Sciences, 114(21), E4296–E4305. https://doi.org/10.1073/pnas.1619928114
Dalata_550_v2_1	Dioscorea_alata	Cormier, F., Lawac, F., Maledon, E., Gravillon, M.-C., Nudol, E., Mournet, P., … Arnau, G. (2019). A reference high-density genetic map of greater yam (Dioscorea alata L.). Theoretical and Applied Genetics, 132(6), 1733–1744. https://doi.org/10.1007/s00122-019-03311-6
Dcarota_388_v2_0	Daucus_carota	Iorizzo, M., Ellison, S., Senalik, D., Zeng, P., Satapoomin, P., Huang, J., … Simon, P. (2016). A high-quality carrot genome assembly provides new insights into carotenoid accumulation and asterid genome evolution. Nature Genetics, 48(6), 657–666. https://doi.org/10.1038/ng.3565
Dsalina_325_v1_0	Dunaliella_salina	Polle, J. E. W., Barry, K., Cushman, J., Schmutz, J., Tran, D., Hathwaik, L. T., … Magnuson, J. (2017). Draft Nuclear Genome Sequence of the Halophilic and Beta-Carotene-Accumulating Green Alga Dunaliella salina Strain CCAP19/18. Genome Announcements, 5(43). https://doi.org/10.1128/genomea.01105-17
Dsophioides_482_v1_1	Descurainia_sophioides	Chris Pires & Steve Wright
Dstrictus_489_v1_1	Diptychocarpus_strictus	-
Egrandis_297_v2_0	Eucalyptus_grandis	Myburg, A. A., Grattapaglia, D., Tuskan, G. A., Hellsten, U., Hayes, R. D., Grimwood, J., … Schmutz, J. (2014). The genome of Eucalyptus grandis. Nature, 510(7505), 356–362. https://doi.org/10.1038/nature13308
Esalsugineum_173_v1_0	Eutrema_salsugineum	Yang, R., Jarvis, D. E., Chen, H., Beilstein, M. A., Grimwood, J., Jenkins, J., … Wang, X. (2013). The Reference Genome of the Halophytic Plant Eutrema salsugineum. Frontiers in Plant Science, 4. https://doi.org/10.3389/fpls.2013.00046
Esyriacum_483_v1_1	Euclidium_syriacum	Chris Pires & Steve Wright
Evesicaria_487_v1_1	Eruca_vesicaria	Chris Pires & Steve Wright
Fvesca_501_v2_0_a2	Fragaria_vesca	Li, Y., Wei, W., Feng, J., Luo, H., Pi, M., Liu, Z., & Kang, C. (2017). Genome re-annotation of the wild strawberry Fragaria vesca using extensive Illumina- and SMRT-based RNA-seq datasets. DNA Research, 25(1), 61–70. https://doi.org/10.1093/dnares/dsx038
Gbarbadense_526_v1_1	Gossypium_barbadense	Chen, Z. J., Sreedasyam, A., Ando, A., Song, Q., De Santiago, L. M., Hulse-Kemp, A. M., … Schmutz, J. (2020). Genomic diversifications of five Gossypium allopolyploid species and their impact on cotton improvement. Nature Genetics, 52(5), 525–533. https://doi.org/10.1038/s41588-020-0614-5
Gdarwinii_529_v1_1	Gossypium_darwinii	Chen, Z. J., Sreedasyam, A., Ando, A., Song, Q., De Santiago, L. M., Hulse-Kemp, A. M., … Schmutz, J. (2020). Genomic diversifications of five Gossypium allopolyploid species and their impact on cotton improvement. Nature Genetics, 52(5), 525–533. https://doi.org/10.1038/s41588-020-0614-5
Ghirsutum_527_v2_1	Gossypium_hirsutum	Chen, Z. J., Sreedasyam, A., Ando, A., Song, Q., De Santiago, L. M., Hulse-Kemp, A. M., … Schmutz, J. (2020). Genomic diversifications of five Gossypium allopolyploid species and their impact on cotton improvement. Nature Genetics, 52(5), 525–533. https://doi.org/10.1038/s41588-020-0614-5
GmaxLee_510_v1_1	Glycine_max	?
Gmustelinum_524_v1_1	Gossypium_mustelinum	Chen, Z. J., Sreedasyam, A., Ando, A., Song, Q., De Santiago, L. M., Hulse-Kemp, A. M., … Schmutz, J. (2020). Genomic diversifications of five Gossypium allopolyploid species and their impact on cotton improvement. Nature Genetics, 52(5), 525–533. https://doi.org/10.1038/s41588-020-0614-5
Graimondii_221_v2_1	Gossypium_raimondii	Paterson, A. H., Wendel, J. F., Gundlach, H., Guo, H., Jenkins, J., Jin, D., … Schmutz, J. (2012). Repeated polyploidization of Gossypium genomes and the evolution of spinnable cotton fibres. Nature, 492(7429), 423–427. https://doi.org/10.1038/nature11798
Gsoja_509_v1_1	Glycine_soja	Valliyodan, B., Cannon, S. B., Bayer, P. E., Shu, S., Brown, A. V., Ren, L., … Nguyen, H. T. (2019). Construction and comparison of three reference‐quality genome assemblies for soybean. The Plant Journal, 100(5), 1066–1082. https://doi.org/10.1111/tpj.14500
Gtomentosum_525_v1_1	Gossypium_tomentosum	Chen, Z. J., Sreedasyam, A., Ando, A., Song, Q., De Santiago, L. M., Hulse-Kemp, A. M., … Schmutz, J. (2020). Genomic diversifications of five Gossypium allopolyploid species and their impact on cotton improvement. Nature Genetics, 52(5), 525–533. https://doi.org/10.1038/s41588-020-0614-5
Hannuus_494_r1_2	Helianthus_annuus	Badouin, H., Gouzy, J., Grassa, C. J., Murat, F., Staton, S. E., Cottret, L., … Langlade, N. B. (2017). The sunflower genome provides insights into oil metabolism, flowering and Asterid evolution. Nature, 546(7656), 148–152. https://doi.org/10.1038/nature22380
Hvulgare_462_r1	Hordeum_vulgare	Beier, S., Himmelbach, A., Colmsee, C., Zhang, X.-Q., Barrero, R. A., Zhang, Q., … Mascher, M. (2017). Construction of a map-based reference genome sequence for barley, Hordeum vulgare L. Scientific Data, 4(1). https://doi.org/10.1038/sdata.2017.44
Iamara_485_v1_1	Iberis_amara	Chris Pires & Steve Wright
Itinctoria_475_v1_1	Isatis_tinctoria	Chris Pires & Steve Wright
Kfedtschenkoi_382_v1_1	Kalanchoe_fedtschenkoi	Yang, X., Hu, R., Yin, H., Jenkins, J., Shu, S., Tang, H., … Tuskan, G. A. (2017). The Kalanchoë genome provides insights into convergent evolution and building blocks of crassulacean acid metabolism. Nature Communications, 8(1). https://doi.org/10.1038/s41467-017-01491-7
Klaxiflora_309_v1_1	Kalanchoe_laxiflora	Jerry Tuskan & Xiaohan Yang
Lannua_476_v1_1	Lunaria_annua	Chris Pires & Steve Wright
Lsativa_467_v5	Lactuca_sativa	Reyes-Chin-Wo, S., Wang, Z., Yang, X., Kozik, A., Arikit, S., Song, C., … Michelmore, R. W. (2017). Genome assembly with in vitro proximity ligation data and whole-genome triplication in lettuce. Nature Communications, 8(1). https://doi.org/10.1038/ncomms14953
Lsativum_478_v1_1	Lepidium_sativum	Chris Pires & Steve Wright
